id,title,description,price,currency,image_url,brand,condition,availability,google_product_category,link
VIPO-031,StockFish Tusk x 2,Stockfish tusk x 2,28.44,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/VIPO-031.jpg?v=2,Africomfort Foods,new,in stock,Fish,https://africomfort-foods.odoo.com/shop/product/5530
RINOU-016,Sunrise Golden Sella Basmati Rice 10kg,Sunrise golden sella basmati rice 10kg,28.44,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/RINOU-016.jpg?v=2,Africomfort Foods,new,in stock,Rice & Noodles,https://africomfort-foods.odoo.com/shop/product/5571
RINOU-017,Sunrise Golden Selle Basmati Rice 20kg,Sunrise golden selle basmati rice 20kg,49.29,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/RINOU-017.jpg?v=2,Africomfort Foods,new,in stock,Rice & Noodles,https://africomfort-foods.odoo.com/shop/product/5575
RINOU-018,Sunrise Golden Selle Basmati Rice 5kg,Sunrise golden selle basmati rice 5kg,15.17,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/RINOU-018.jpg?v=2,Africomfort Foods,new,in stock,Rice & Noodles,https://africomfort-foods.odoo.com/shop/product/5576
SEAS-023,Suya powder (200g),Suya powder (200g),4.74,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/SEAS-023.jpg?v=2,Africomfort Foods,new,in stock,Spice & Seasoning,https://africomfort-foods.odoo.com/shop/product/5533
VIPO-030,TILAPIA Fillet (100g),Tilapia fillet (100g),4.74,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/VIPO-030.jpg?v=2,Africomfort Foods,new,in stock,Fish,https://africomfort-foods.odoo.com/shop/product/5574
VIPO-029,Thick Ponmo (cow head) 1kg,Thick ponmo (cow head) 1kg,7.58,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/VIPO-029.jpg?v=2,Africomfort Foods,new,in stock,Fresh Meat,https://africomfort-foods.odoo.com/shop/product/5551
VIPO-024,Thomson - Chile (Sese) 5Kg,Thomson - chile (sese) 5kg,15.17,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/VIPO-024.jpg?v=2,Africomfort Foods,new,in stock,Fish,https://africomfort-foods.odoo.com/shop/product/5564
SEAS-002,Thyme 100g,Thyme 100g,6.64,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/SEAS-002.jpg?v=2,Africomfort Foods,new,in stock,Spice & Seasoning,https://africomfort-foods.odoo.com/shop/product/5475
GOU-008,Tigernut,Tigernut,2.84,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/GOU-008.jpg?v=2,Africomfort Foods,new,in stock,snacks,https://africomfort-foods.odoo.com/shop/product/5603
RINOU-019,Tilda Golden Sella Basmati (10KG),Tilda golden sella basmati (10kg),30.33,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/RINOU-019.jpg?v=2,Africomfort Foods,new,in stock,Rice & Noodles,https://africomfort-foods.odoo.com/shop/product/5404
RINOU-020,Tilda Golden Sella Basmati (5KG),Tilda golden sella basmati (5kg),16.11,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/RINOU-020.jpg?v=2,Africomfort Foods,new,in stock,Rice & Noodles,https://africomfort-foods.odoo.com/shop/product/5490
VEG-009,Tomato puree de RICA (400g),Tomato puree de rica (400g),2.37,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/VEG-009.jpg?v=2,Africomfort Foods,new,in stock,Vegetables,https://africomfort-foods.odoo.com/shop/product/5459
VEG-010,Tomato puree de RICA (850g),Tomato puree de rica (850g),4.74,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/VEG-010.jpg?v=2,Africomfort Foods,new,in stock,Vegetables,https://africomfort-foods.odoo.com/shop/product/5418
BOI-016,VITAMILK BANANA (300ML),Vitamilk banana (300ml),2.37,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/BOI-016.jpg?v=2,Africomfort Foods,new,in stock,Beverages,https://africomfort-foods.odoo.com/shop/product/5620
BOI-017,VITAMILK ORIGINALE (300ML),Vitamilk originale (300ml),2.37,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/BOI-017.jpg?v=2,Africomfort Foods,new,in stock,Beverages,https://africomfort-foods.odoo.com/shop/product/5619
BOI-018,VITAMILK STRAWBERRY (300ML),Vitamilk strawberry (300ml),2.37,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/BOI-018.jpg?v=2,Africomfort Foods,new,in stock,Beverages,https://africomfort-foods.odoo.com/shop/product/5621
BOI-019,Vitamalt (33 cl),Vitamalt (33 cl),22.75,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/BOI-019.jpg?v=2,Africomfort Foods,new,in stock,Beverages,https://africomfort-foods.odoo.com/shop/product/5359
BOI-020,Vitamalt (50cl x 24),Vitamalt (50cl x 24),28.44,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/BOI-020.jpg?v=2,Africomfort Foods,new,in stock,Beverages,https://africomfort-foods.odoo.com/shop/product/5446
DEJ-030,Wahala free pap (yellow),Wahala free pap (yellow),5.69,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/DEJ-030.jpg?v=2,Africomfort Foods,new,in stock,Breakfast,https://africomfort-foods.odoo.com/shop/product/5507
FAR-037,White Beans (5kg),White beans (5kg),18.96,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/FAR-037.jpg?v=2,Africomfort Foods,new,in stock,Powder and beans,https://africomfort-foods.odoo.com/shop/product/5561
COS-005,Wisdom Orange toothbrush (x12),Wisdom orange toothbrush (x12),9.48,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/COS-005.jpg?v=2,Africomfort Foods,new,in stock,Cosmetics,https://africomfort-foods.odoo.com/shop/product/5496
FAR-015,Yam flour/ Elubo 10kg,Yam flour/ elubo 10kg,34.12,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/FAR-015.jpg?v=2,Africomfort Foods,new,in stock,Powder and beans,https://africomfort-foods.odoo.com/shop/product/5478
FAR-016,Yam flour/ Elubo 5kg,Yam flour/ elubo 5kg,18.96,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/FAR-016.jpg?v=2,Africomfort Foods,new,in stock,Powder and beans,https://africomfort-foods.odoo.com/shop/product/5479
FAR-038,Yellow gari (5kg),Yellow gari (5kg),15.17,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/FAR-038.jpg?v=2,Africomfort Foods,new,in stock,Powder and beans,https://africomfort-foods.odoo.com/shop/product/5558
VEG-013,frozen Iru,Frozen iru,4.74,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/VEG-013.jpg?v=2,Africomfort Foods,new,in stock,Vegetables,https://africomfort-foods.odoo.com/shop/product/5513
VIPO-028,mackerel smoked,Mackerel smoked,3.79,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/VIPO-028.jpg?v=2,Africomfort Foods,new,in stock,Fish,https://africomfort-foods.odoo.com/shop/product/5602
RINOU-024,ofada rice (900grm),Ofada rice (900grm),4.27,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/RINOU-024.jpg?v=2,Africomfort Foods,new,in stock,Rice & Noodles,https://africomfort-foods.odoo.com/shop/product/5512
